,CIK,Company_Name
368,0000045012,HALLIBURTON COMPANY
369,0001045810,NVIDIA CORP
370,0000077476,"PepsiCo, Inc."
371,0001100682,"CHARLES RIVER LABORATORIES INTERNATIONAL, INC."
372,0000035527,FIFTH THIRD BANCORP
373,0000814453,NEWELL BRANDS INC.
374,0000749251,"GARTNER, INC."
375,0001001250,Estée Lauder Companies Inc
376,0001513761,NORWEGIAN CRUISE LINE HOLDINGS LTD.
377,0001071739,Centene Corporation
378,0001065280,"Netflix, Inc."
379,0000009389,Ball Corp
380,0001163165,ConocoPhillips
381,0001032208,SEMPRA ENERGY
382,0001048911,FedEx Corporation
383,0001744489,WALT DISNEY CO/
384,0000753308,NEXTERA ENERGY INC
385,0001699150,Ingersoll Rand Inc.
386,0000935703,"DOLLAR TREE, INC."
387,0000093410,Chevron Corp
388,0001179929,"MOLINA HEALTHCARE, INC."
389,0000701985,"BATH & BODY WORKS, INC."
390,0001326160,DUKE ENERGY CORPORATION
391,0000007084,ARCHER-DANIELS-MIDLAND CO
392,0000815556,FASTENAL CO
393,0001519751,"Fortune Brands Innovations, Inc."
394,0001060391,"REPUBLIC SERVICES, INC."
395,0001534701,Phillips 66
396,0000313616,DANAHER CORPORATION
397,0001099219,"MetLife, Inc."
398,0001058090,"CHIPOTLE MEXICAN GRILL, INC."
399,0001018724,"AMAZON.COM, INC."
400,0000946581,"TAKE-TWO INTERACTIVE SOFTWARE, INC."
401,0000914208,Invesco Ltd.
402,0001126328,"PRINCIPAL FINANCIAL GROUP, INC"
403,0000091440,Snap-on Inc
404,0000072741,EVERSOURCE ENERGY
405,0001645590,HEWLETT PACKARD ENTERPRISE CO
406,0000087347,SCHLUMBERGER LIMITED/NV
407,0000079879,"PPG INDUSTRIES, INC."
408,0000875320,VERTEX PHARMACEUTICALS INC / MA
409,0000012208,
410,0000072331,NORDSON CORPORATION
411,0001437107,"Warner Bros. Discovery, Inc."
412,0001140536,WILLIS TOWERS WATSON PLC
413,0000075362,PACCAR Inc
414,0000354190,ARTHUR J. GALLAGHER & CO.
415,0000075677,PACKAGING CORP OF AMERICA
416,0001590955,"Paycom Software, Inc."
417,0001166691,COMCAST CORPORATION
418,0000315189,DEERE & CO
419,0000089800,THE SHERWIN-WILLIAMS COMPANY
420,0000833444,JOHNSON CONTROLS INTERNATIONAL PLC
421,0001467373,Accenture plc
422,0000109198,"The TJX Companies, Inc."
423,0001170010,"CARMAX, INC."
424,0000885725,BOSTON SCIENTIFIC CORPORATION
425,0001285785,Mosaic Co
426,0000859737,"HOLOGIC, INC"
427,0001090872,"Agilent Technologies, Inc."
428,0001601046,"KEYSIGHT TECHNOLOGIES, INC."
429,0001013871,"NRG Energy, Inc"
430,0001262039,"FORTINET, INC."
431,0001031296,FIRSTENERGY CORP
432,0000319201,KLA CORP
433,0001396009,VULCAN MATERIALS COMPANY
434,0001419612,"SOLAREDGE
TECHNOLOGIES, INC."
435,0000106040,WESTERN DIGITAL CORPORATION
436,0000059558,LINCOLN NATIONAL CORPORATION
437,0001403161,VISA INC.
438,0000922224,PPL Corporation
439,0000004962,American Express Co
440,0000217346,Textron Inc.
441,0000766421,"ALASKA AIR GROUP, INC."
442,0000031791,"PERKINELMER, INC."
443,0001732845,WESTROCK COMPANY
444,0000906107,EQUITY RESIDENTIAL
445,0000023217,CONAGRA BRANDS INC.
446,0001521332,APTIV PLC
447,0000927066,DAVITA INC.
448,0000874766,"THE HARTFORD FINANCIAL SERVICES GROUP, INC."
449,0001121788,GARMIN LTD
450,0000016732,CAMPBELL SOUP COMPANY
451,0000070858,Bank of America Corporation
452,0001524472,Xylem Inc.
453,0000728535,"J.B. HUNT TRANSPORT SERVICES, INC."
454,0001175454,"FLEETCOR Technologies, Inc."
455,0001043604,"JUNIPER NETWORKS, INC."
456,0000080661,PROGRESSIVE CORP/OH/
457,0001601712,SYNCHRONY FINANCIAL
458,0000920760,LENNAR CORP /NEW/
459,0000895421,MORGAN STANLEY
460,0001306830,CELANESE CORPORATION
461,0000012927,BOEING CO
462,0000829224,Starbucks Corporation
463,0001501585,"HUNTINGTON INGALLS INDUSTRIES, INC."
464,0001156375,CME GROUP INC.
465,0001324404,"CF INDUSTRIES HOLDINGS, INC."
466,0001013237,FACTSET RESEARCH SYSTEMS INC
467,0000049826,ILLINOIS TOOL WORKS INC
468,0001137774,"Prudential Financial, Inc."
469,0000732712,Verizon Communications Inc.
470,0001324424,"EXPEDIA GROUP, INC."
471,0000084839,"ROLLINS, INC."
472,0000759944,CITIZENS FINANCIAL GROUP INC/RI
473,0000766704,WELLTOWER INC.
474,0000943452,WESTINGHOUSE AIR BRAKE TECHNOLOGIES CORPORATION
475,0000006769,APACHE CORPORATION
476,0001164727,NEWMONT CORPORATION
477,0000091142,A. O. Smith Corporation
478,0001335258,"LIVE NATION ENTERTAINMENT, INC."
479,0001364742,"BlackRock, Inc."
480,0000060086,LOEWS CORP
481,0000029905,Dover Corporation
482,0001136893,"Fidelity National Information Services, Inc."
483,0001058290,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION
484,0000875045,BIOGEN INC.
485,0000882184,"D.R. Horton, Inc."
486,0000106535,WEYERHAEUSER COMPANY
487,0000945841,POOL CORPORATION
488,0001868275,CONSTELLATION ENERGY CORPORATION
489,0001048286,MARRIOTT INTERNATIONAL INC /MD/
490,0000010795,"BECTON, DICKINSON AND COMPANY"
491,0000815097,Carnival Corporation
492,0000014693,BROWN-FORMAN CORPORATION
493,0001757898,STERIS plc
494,0001158449,"ADVANCE AUTO PARTS, INC."
495,0000004447,Hess Corporation
496,0000877890,"CITRIX SYSTEMS, INC."
